system:index,date,mean_ndvi,urban_area_m2,vegetation_area_m2,water_area_m2,.geo
LC08_039035_20200127,2020-01-27,0.0849135382903692,3696785.8239372703,2897238.235961914,2.799784280625054E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20200502,2020-05-02,0.12308146964183797,2238725.446044922,3019943.553161621,2.219976258306844E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20200518,2020-05-18,0.1264571175346164,2330515.151550293,2835495.382446289,3.406258663620893E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20200619,2020-06-19,0.10327873199021391,2949401.2086863797,2761715.3123168945,1.9024259937933254E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20200705,2020-07-05,0.0850225895487182,3174203.1489772424,2804018.2740478516,2.2703700894655213E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20200806,2020-08-06,0.0988891697013373,3248686.6348065543,3077575.700378418,2.4253600600248495E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20200907,2020-09-07,0.06277359931177515,694616.9600219727,17089.337829589844,184385.18322753906,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20200923,2020-09-23,0.08681104880852442,3422351.680460851,3172949.046142578,2.4578955273540688E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20201025,2020-10-25,0.08494210869260778,3278694.9511790555,3211630.418701172,2.457910942012145E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20201110,2020-11-10,0.07700521391811144,4750286.206634401,3419800.5077416515,2.5903417068272895E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20201126,2020-11-26,0.08254911296258508,4808123.702989047,2997462.591369629,2.6747850109306878E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20210302,2021-03-02,0.06962506257816216,6112768.407004442,1705284.8834838867,2.5251979376958627E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20210403,2021-04-03,0.07226049648353838,5342363.641442871,2176812.4216308594,2.4665154962751198E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20210419,2021-04-19,0.07099468633521276,5156679.791225059,2710438.311279297,2.4402984134763256E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20210505,2021-05-05,0.07557463364715927,4992029.734043255,2939228.487621352,2.1851941206702882E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20210606,2021-06-06,0.09561921406872805,3931215.404842601,2849025.3833007812,1.5793468903768383E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20210708,2021-07-08,0.09246489126856874,4397481.741058708,2996612.680480957,1.4611105422114235E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20210809,2021-08-09,0.08924586348925158,5187976.026236501,3324983.0073242188,1.79237724704047E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20211028,2021-10-28,0.05499688527852548,7426484.701315726,3311548.6139526367,2.4065234967163447E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20211113,2021-11-13,0.055969882980702594,7927318.327540738,3295578.5570183247,2.4908797038125694E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20211129,2021-11-29,0.05003034160299625,8287399.084179927,3011894.428161621,2.6381124459463537E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20220217,2022-02-17,0.05803729348320645,7365951.434133492,1435314.8498535156,2.4238021674270213E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20220321,2022-03-21,0.07619366412913602,5540167.779515883,1579297.5665283203,2.2815273754324996E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20220406,2022-04-06,0.07611852507778001,5465345.443148743,2280304.4455566406,1.997191617639196E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20220508,2022-05-08,0.08352626198033143,4988657.463449515,2605162.2973632812,2.1987983402059637E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20220524,2022-05-24,0.06962241610091427,5577810.456769397,2709551.473449707,1.6141864469365114E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20220609,2022-06-09,0.08054908838079751,4448795.936582558,2612364.8063964844,7.677452765098806E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20220625,2022-06-25,0.07141574584232255,5419919.342527861,2693353.189758301,1.7124252724877763E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20220711,2022-07-11,0.07356925700275023,9384693.610463101,2732948.8666992188,1.5523641844429404E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20220828,2022-08-28,0.08544163275829755,5242280.210001149,4641035.780855546,2.127222572318285E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_039035_20220929,2022-09-29,0.07631844175610772,4603336.351645077,3141682.8476280062,2.138873055771245E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
